time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-1,06085,1,diffI,19124,5188,477,160,810,96,30,13,96,229
2020-05-05,06019-1,06019,1,diffI,2379,628,44,19,103,4,2,0,96,230
2020-05-05,36005-1,36005,1,diffI,1362,399,35,14,75,4,2,0,96,231
2020-05-05,36081-1,36081,1,diffI,8,0,0,0,0,0,0,0,96,232
2020-05-06,06085-1,06085,1,diffI,21012,5842,529,192,896,87,46,18,97,229
2020-05-06,06019-1,06019,1,diffI,2576,709,51,22,115,9,4,1,97,230
2020-05-06,36005-1,36005,1,diffI,1503,471,42,14,86,9,2,3,97,231
2020-05-06,36081-1,36081,1,diffI,8,0,0,0,0,0,0,0,97,232
2020-05-07,06085-1,06085,1,diffI,23120,6633,596,205,1050,106,33,13,98,229
2020-05-07,06019-1,06019,1,diffI,2808,787,57,22,112,12,4,1,98,230
2020-05-07,36005-1,36005,1,diffI,1688,545,42,14,101,8,3,0,98,231
2020-05-07,36081-1,36081,1,diffI,13,0,0,0,0,0,0,0,98,232
2020-05-08,06085-1,06085,1,diffI,25512,7467,677,238,1123,122,46,18,99,229
2020-05-08,06019-1,06019,1,diffI,3169,872,60,22,131,13,3,1,99,230
2020-05-08,36005-1,36005,1,diffI,1876,607,53,17,88,14,4,3,99,231
2020-05-08,36081-1,36081,1,diffI,7,0,0,0,0,0,0,0,99,232
2020-05-09,06085-1,06085,1,diffI,27668,8385,768,263,1263,140,45,22,100,229
2020-05-09,06019-1,06019,1,diffI,3463,984,75,23,160,21,4,3,100,230
2020-05-09,36005-1,36005,1,diffI,2053,694,66,25,110,14,8,0,100,231
2020-05-09,36081-1,36081,1,diffI,13,0,0,0,0,0,0,0,100,232
