time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-1,06085,1,diffI,368,238,25,13,20,2,2,3,96,229
2020-05-05,06019-1,06019,1,diffI,84,57,7,0,10,2,0,0,96,230
2020-05-05,36005-1,36005,1,diffI,97,74,10,3,9,3,1,0,96,231
2020-05-05,36081-1,36081,1,diffI,0,0,0,0,0,0,0,0,96,232
2020-05-06,06085-1,06085,1,diffI,348,245,22,10,29,1,0,1,97,229
2020-05-06,06019-1,06019,1,diffI,74,56,9,1,3,2,1,1,97,230
2020-05-06,36005-1,36005,1,diffI,89,78,12,5,9,3,3,0,97,231
2020-05-06,36081-1,36081,1,diffI,0,0,0,0,0,0,0,0,97,232
2020-05-07,06085-1,06085,1,diffI,368,256,27,8,32,9,1,3,1,3
2020-05-07,06019-1,06019,1,diffI,81,54,10,2,2,2,1,0,98,230
2020-05-07,36005-1,36005,1,diffI,106,90,13,6,16,1,1,0,98,231
2020-05-07,36081-1,36081,1,diffI,0,1,0,0,1,0,0,0,98,232
2020-05-08,06085-1,06085,1,diffI,346,268,29,9,35,5,3,3,99,229
2020-05-08,06019-1,06019,1,diffI,91,61,13,4,10,3,2,0,99,230
2020-05-08,36005-1,36005,1,diffI,126,99,14,6,14,2,1,0,99,231
2020-05-08,36081-1,36081,1,diffI,0,1,0,0,0,0,0,0,99,232
2020-05-09,06085-1,06085,1,diffI,370,293,32,12,34,4,3,3,100,229
2020-05-09,06019-1,06019,1,diffI,83,66,14,4,9,1,0,0,100,230
2020-05-09,36005-1,36005,1,diffI,127,103,15,6,11,2,0,1,100,231
2020-05-09,36081-1,36081,1,diffI,1,2,0,0,1,0,0,0,100,232
