time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-10,06085,10,diffI,56536,16000,1518,556,2106,268,130,35,96,229
2020-05-05,06019-10,06019,10,diffI,8357,2548,263,99,332,36,20,5,96,230
2020-05-05,36005-10,36005,10,diffI,1236,156,14,6,22,2,1,0,96,231
2020-05-05,36081-10,36081,10,diffI,43,9,2,2,0,0,0,0,96,232
2020-05-06,06085-10,06085,10,diffI,56294,17464,1670,625,2284,272,121,41,97,229
2020-05-06,06019-10,06019,10,diffI,8243,2755,290,104,335,51,15,1,97,230
2020-05-06,36005-10,36005,10,diffI,1405,178,17,7,25,4,1,0,97,231
2020-05-06,36081-10,36081,10,diffI,49,11,2,2,2,0,0,0,97,232
2020-05-07,06085-10,06085,10,diffI,55087,18864,1860,681,2355,320,117,51,98,229
2020-05-07,06019-10,06019,10,diffI,7999,2933,298,113,354,45,26,8,98,230
2020-05-07,36005-10,36005,10,diffI,1603,201,17,6,37,2,0,0,98,231
2020-05-07,36081-10,36081,10,diffI,55,15,2,2,5,0,0,0,98,232
2020-05-08,06085-10,06085,10,diffI,53817,20349,2058,757,2499,343,132,51,99,229
2020-05-08,06019-10,06019,10,diffI,7839,3136,326,128,393,54,22,11,99,230
2020-05-08,36005-10,36005,10,diffI,1866,231,19,5,34,3,0,0,99,231
2020-05-08,36081-10,36081,10,diffI,76,16,2,2,1,0,0,0,99,232
2020-05-09,06085-10,06085,10,diffI,51154,21645,2213,817,2461,329,141,63,100,229
2020-05-09,06019-10,06019,10,diffI,7519,3395,362,131,436,58,14,7,100,230
2020-05-09,36005-10,36005,10,diffI,2053,275,20,5,54,4,1,2,100,231
2020-05-09,36081-10,36081,10,diffI,67,16,2,2,2,0,0,0,100,232
