time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-10,06085,10,diffI,297,103,7,3,15,0,1,1,96,229
2020-05-05,06019-10,06019,10,diffI,12,7,0,0,1,0,0,0,96,230
2020-05-05,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,96,231
2020-05-05,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,96,232
2020-05-06,06085-10,06085,10,diffI,291,111,7,3,15,0,0,0,97,229
2020-05-06,06019-10,06019,10,diffI,24,7,1,0,0,1,0,1,97,230
2020-05-06,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,97,231
2020-05-06,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,97,232
2020-05-07,06085-10,06085,10,diffI,339,120,8,3,18,1,0,0,98,229
2020-05-07,06019-10,06019,10,diffI,18,6,1,1,0,0,1,0,98,230
2020-05-07,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,98,231
2020-05-07,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,98,232
2020-05-08,06085-10,06085,10,diffI,348,122,12,4,11,4,1,1,99,229
2020-05-08,06019-10,06019,10,diffI,18,9,2,1,3,1,0,0,99,230
2020-05-08,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,99,231
2020-05-08,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,99,232
2020-05-09,06085-10,06085,10,diffI,357,129,15,6,10,3,2,2,100,229
2020-05-09,06019-10,06019,10,diffI,27,7,2,1,0,0,0,0,100,230
2020-05-09,36005-10,36005,10,diffI,3,0,0,0,0,0,0,0,100,231
2020-05-09,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,100,232
