time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-10,06085,10,diffI,297,67,8,2,6,2,0,0,96,229
2020-05-05,06019-10,06019,10,diffI,12,5,0,0,1,0,0,0,96,230
2020-05-05,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,96,231
2020-05-05,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,96,232
2020-05-06,06085-10,06085,10,diffI,291,67,7,3,7,0,2,1,97,229
2020-05-06,06019-10,06019,10,diffI,24,4,0,0,0,0,0,0,97,230
2020-05-06,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,97,231
2020-05-06,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,97,232
2020-05-07,06085-10,06085,10,diffI,339,70,8,3,7,2,0,0,98,229
2020-05-07,06019-10,06019,10,diffI,18,4,0,0,0,0,0,0,98,230
2020-05-07,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,98,231
2020-05-07,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,98,232
2020-05-08,06085-10,06085,10,diffI,348,72,8,2,8,1,0,0,99,229
2020-05-08,06019-10,06019,10,diffI,18,5,1,0,1,1,0,0,99,230
2020-05-08,36005-10,36005,10,diffI,0,0,0,0,0,0,0,0,99,231
2020-05-08,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,99,232
2020-05-09,06085-10,06085,10,diffI,357,74,7,2,7,0,0,0,100,229
2020-05-09,06019-10,06019,10,diffI,27,4,1,0,0,0,0,0,100,230
2020-05-09,36005-10,36005,10,diffI,3,0,0,0,0,0,0,0,100,231
2020-05-09,36081-10,36081,10,diffI,0,0,0,0,0,0,0,0,100,232
