time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-1,06085,1,diffI,368,50,8,1,6,1,0,0,96,229
2020-05-05,06019-1,06019,1,diffI,84,16,1,1,0,0,0,0,96,230
2020-05-05,36005-1,36005,1,diffI,97,22,2,1,2,0,0,0,96,231
2020-05-05,36081-1,36081,1,diffI,0,1,0,0,0,0,0,0,96,232
2020-05-06,06085-1,06085,1,diffI,348,52,5,1,6,0,0,3,97,229
2020-05-06,06019-1,06019,1,diffI,74,18,1,1,3,0,0,0,97,230
2020-05-06,36005-1,36005,1,diffI,89,19,3,1,0,1,0,0,97,231
2020-05-06,36081-1,36081,1,diffI,0,1,0,0,0,0,0,0,97,232
2020-05-07,06085-1,06085,1,diffI,368,51,3,1,4,0,0,0,98,229
2020-05-07,06019-1,06019,1,diffI,81,21,1,0,4,1,0,0,98,230
2020-05-07,36005-1,36005,1,diffI,106,20,3,1,2,0,0,0,98,231
2020-05-07,36081-1,36081,1,diffI,0,1,0,0,0,0,0,0,98,232
2020-05-08,06085-1,06085,1,diffI,346,55,4,1,7,1,0,2,99,229
2020-05-08,06019-1,06019,1,diffI,91,17,1,1,0,0,1,1,99,230
2020-05-08,36005-1,36005,1,diffI,126,19,3,1,0,0,0,0,99,231
2020-05-08,36081-1,36081,1,diffI,0,1,0,0,0,0,0,0,99,232
2020-05-09,06085-1,06085,1,diffI,370,57,6,1,6,2,0,0,100,229
2020-05-09,06019-1,06019,1,diffI,83,20,1,1,3,0,0,0,100,230
2020-05-09,36005-1,36005,1,diffI,127,23,2,0,5,0,0,0,100,231
2020-05-09,36081-1,36081,1,diffI,1,1,0,0,0,0,0,0,100,232
